Technique,Variable,Precision,Recall,F1,Accuracy,Time
Autoencoder,1,1.0,0.9698910954516335,0.9847154471544716,0.9969893024149639,00:00:25.665445
HBOS,3.5,0.8976350158842217,0.8145419602818706,0.8540722082283795,0.9721670616872718,00:00:04.301246
Percentile,90/10,0.9973244147157191,0.9551569506726457,0.9757853403141362,0.9952597527384537,00:00:02.679665
Autoencoder,1,1.0,0.9698910954516335,0.9847154471544716,0.9969893024149639,00:00:34.098045
HBOS,3.5,0.8976350158842217,0.8145419602818706,0.8540722082283795,0.9721670616872718,00:00:02.738626
Percentile,90/10,0.9973244147157191,0.9551569506726457,0.9757853403141362,0.9952597527384537,00:00:01.668690
Autoencoder,1,1.0,0.9698910954516335,0.9847154471544716,0.9969893024149639,00:00:51.223245
HBOS,3.5,0.8976350158842217,0.8145419602818706,0.8540722082283795,0.9721670616872718,00:00:02.901886
Percentile,90/10,0.9973244147157191,0.9551569506726457,0.9757853403141362,0.9952597527384537,00:00:01.583034
Autoencoder,1,1.0,0.9698910954516335,0.9847154471544716,0.9969893024149639,00:01:13.559912
HBOS,3.5,0.8970017636684303,0.8145419602818706,0.8537854624811146,0.9721030042918455,00:00:02.889042
Percentile,90/10,0.9973244147157191,0.9551569506726457,0.9757853403141362,0.9952597527384537,00:00:01.669639
Autoencoder,1,1.0,0.9698910954516335,0.9847154471544716,0.9969893024149639,00:01:20.661886
HBOS,3.5,0.8970017636684303,0.8145419602818706,0.8537854624811146,0.9721030042918455,00:00:03.081486
Percentile,90/10,0.9973244147157191,0.9551569506726457,0.9757853403141362,0.9952597527384537,00:00:01.651525
