Technique,Variable,Precision,Recall,F1,Accuracy,Time
Autoencoder,100,0.15754132231404958,0.09797622871827819,0.12081600316894434,0.8573723612762266,00:02:35.978437
HBOS,4,0.8982691628399859,0.8145419602818706,0.8543591466487486,0.9722311190826981,00:00:02.924187
Percentile,92/10,1.0,0.7648942985265855,0.8667876588021778,0.9764909358785472,00:00:01.462135
Autoencoder,100,0.0,0.0,0.0,0.8999775085949298,00:03:05.436589
HBOS,4,0.8982691628399859,0.8145419602818706,0.8543591466487486,0.9722311190826981,00:00:03.037230
Percentile,92/10,1.0,0.7648942985265855,0.8667876588021778,0.9764909358785472,00:00:01.432364
Autoencoder,100,0.5,0.0009637006103437199,0.0019236934915036871,0.8999775085949298,00:04:34.631741
HBOS,4,0.8982691628399859,0.8145419602818706,0.8543591466487486,0.9722311190826981,00:00:02.525808
Percentile,92/10,1.0,0.7648942985265855,0.8667876588021778,0.9764909358785472,00:00:01.281164
Autoencoder,100,0.0,0.0,0.0,0.8999775085949298,00:06:18.308994
HBOS,4,0.8976350158842217,0.8145419602818706,0.8540722082283795,0.9721670616872718,00:00:03.067248
Percentile,92/10,1.0,0.7648942985265855,0.8667876588021778,0.9764909358785472,00:00:01.203367
Autoencoder,100,0.0,0.0,0.0,0.8999775085949298,00:07:48.497719
HBOS,4,0.8976350158842217,0.8145419602818706,0.8540722082283795,0.9721670616872718,00:00:03.129539
Percentile,92/10,1.0,0.7648942985265855,0.8667876588021778,0.9764909358785472,00:00:01.501899
