Technique,Variable,Precision,Recall,F1,Accuracy,Time
Autoencoder,40,0.15236363636363637,0.4026265214606022,0.22106929300035175,0.7159349645640253,00:01:01.291485
HBOS,3,0.8976350158842217,0.8145419602818706,0.8540722082283795,0.9721670616872718,00:00:03.617045
Percentile,80/10,0.675622968580715,0.9987187700192185,0.8059971565206151,0.9519249247325604,00:00:03.209440
Autoencoder,40,0.14480048367593712,0.3068545803971813,0.19675498048880674,0.7491581951704455,00:01:52.433763
HBOS,3,0.8976350158842217,0.8145419602818706,0.8540722082283795,0.9721670616872718,00:00:03.824369
Percentile,80/10,0.675622968580715,0.9987187700192185,0.8059971565206151,0.9519249247325604,00:00:03.040741
Autoencoder,40,0.0,0.0,0.0,0.8998492768495655,00:02:44.858630
HBOS,3,0.8976350158842217,0.8145419602818706,0.8540722082283795,0.9721670616872718,00:00:02.887271
Percentile,80/10,0.675622968580715,0.9987187700192185,0.8059971565206151,0.9519249247325604,00:00:02.336542
Autoencoder,40,0.17045454545454544,0.004804612427930814,0.009345794392523364,0.8980213577911041,00:03:22.259983
HBOS,3,0.8970017636684303,0.8145419602818706,0.8537854624811146,0.9721030042918455,00:00:03.837918
Percentile,80/10,0.675622968580715,0.9987187700192185,0.8059971565206151,0.9519249247325604,00:00:03.107397
Autoencoder,40,0.19014891179839633,0.053171044202434334,0.08310387984981225,0.8825321489273001,00:05:08.512972
HBOS,3,0.8970017636684303,0.8145419602818706,0.8537854624811146,0.9721030042918455,00:00:02.917384
Percentile,80/10,0.675622968580715,0.9987187700192185,0.8059971565206151,0.9519249247325604,00:00:02.083777
