Technique,Variable,Training_Test,Precision,Recall,F1,Accuracy,Time_t,Time_d
Percentile,90/10,80/20,0.9920484664899659,0.9444844989185291,0.9676823638042474,0.9936923298731257,00:00:00,00:00:01.002597
HBOS,3,80/20,0.9013798701298701,0.8006488824801731,0.8480336006109203,0.9713091118800461,00:00:00.038998,00:00:01.748805
LOF,20/0.2,80/20,0.4771797293043752,0.5465032444124008,0.5094942026550159,0.894788062283737,00:00:00,00:00:00.148172
Autoencoder,1,80/20,1.0,0.989185291997116,0.9945632475534614,0.9989186851211073,00:00:35.787552,00:00:04.471797
Percentile,90/10,80/20,0.9928785607196402,0.9549387166546504,0.9735391400220508,0.9948096885813149,00:00:00,00:00:01.052626
HBOS,3,80/20,0.8999603017070266,0.8172314347512617,0.8566030606461364,0.9726427335640139,00:00:00.038998,00:00:01.796154
LOF,20/0.2,80/20,0.48,0.5493871665465032,0.5123550176500253,0.8954368512110726,00:00:00,00:00:00.132720
Autoencoder,1,80/20,1.0,0.9884643114635905,0.994198694706309,0.9988465974625144,00:00:35.787552,00:00:03.805307
Percentile,90/10,80/20,0.9939622641509434,0.9495313626532084,0.9712389380530972,0.9943771626297578,00:00:00,00:00:01.020907
HBOS,3,80/20,0.9016260162601626,0.7995674116798847,0.8475353458158196,0.9712370242214533,00:00:00.038998,00:00:01.820288
LOF,20/0.2,80/20,0.4670750382848392,0.5497476568132661,0.5050505050505052,0.8922649942329873,00:00:00,00:00:00.157749
Autoencoder,1,80/20,1.0,0.9863013698630136,0.993103448275862,0.9986303344867359,00:00:35.787552,00:00:03.990237
Percentile,90/10,80/20,0.9939255884586181,0.9437635183850036,0.9681952662721894,0.993800461361015,00:00:00,00:00:01.025314
HBOS,3,80/20,0.9041040227549777,0.8020908435472243,0.8500477554918817,0.9717055940023068,00:00:00.038998,00:00:01.819881
LOF,20/0.2,80/20,0.4858877086494689,0.5771449170872387,0.5275992750041193,0.8966623414071511,00:00:00,00:00:00.164980
Autoencoder,1,80/20,1.0,0.9906272530641672,0.9952915610286127,0.999062860438293,00:00:35.787552,00:00:05.103158
Percentile,90/10,80/20,0.9917664670658682,0.9552992069214131,0.9731913330885053,0.994737600922722,00:00:00,00:00:01.223115
