Technique,Variable,Training_Test,Precision,Recall,F1,Accuracy,Time_t,Time_d
Percentile,90/10,60/40,0.9947012607345149,0.9459600347523892,0.9697185607410046,0.9940925044306217,00:00:00,00:00:01.769807
HBOS,3,60/40,0.9016837623379137,0.8095569070373588,0.8531404504669474,0.9721305209021093,00:00:00.044892,00:00:03.199688
LOF,20/0.2,60/40,0.4989179050642043,0.600868809730669,0.5451679016238372,0.8997463251902561,00:00:00,00:00:00.284619
Autoencoder,1,60/40,0.9965355967434609,0.9996524761077324,0.9980916030534351,0.9996177502866873,00:00:23.608183,00:00:04.180612
Percentile,90/10,60/40,0.9967497291440953,0.9591659426585578,0.9775967413441955,0.9956041282969038,00:00:00,00:00:01.970521
HBOS,3,60/40,0.9022775939264162,0.8053866203301477,0.8510833639368344,0.9718177711366717,00:00:00.044892,00:00:03.298003
LOF,20/0.2,60/40,0.5022611232676878,0.598262380538662,0.5460745440126883,0.9005455745908191,00:00:00,00:00:00.299367
Autoencoder,1,60/40,0.9968798751950078,0.9993049522154648,0.9980909406456091,0.9996177502866873,00:00:23.608183,00:00:04.092322
Percentile,90/10,60/40,0.994221740700614,0.9567332754126846,0.9751173293190472,0.9951176286617786,00:00:00,00:00:01.748922
HBOS,3,60/40,0.8985590778097983,0.8126846220677671,0.8534671532846715,0.9720957709281718,00:00:00.044892,00:00:03.181753
LOF,20/0.2,60/40,0.48083674663545933,0.5711555169417898,0.5221189738702248,0.8954547034089725,00:00:00,00:00:00.273000
Autoencoder,1,60/40,0.9968798751950078,0.9993049522154648,0.9980909406456091,0.9996177502866873,00:00:23.608183,00:00:05.058932
Percentile,90/10,60/40,0.9922002539452204,0.950477845351868,0.9708910188143416,0.9943010042742468,00:00:00,00:00:01.750023
HBOS,3,60/40,0.8979472140762463,0.7980886185925282,0.8450781968721252,0.9707405219446086,00:00:00.044892,00:00:03.068837
LOF,20/0.2,60/40,0.5172213341084144,0.6184187662901824,0.5633111744222854,0.9041248219063835,00:00:00,00:00:00.270464
Autoencoder,1,60/40,0.9968798751950078,0.9993049522154648,0.9980909406456091,0.9996177502866873,00:00:23.608183,00:00:04.959412
Percentile,90/10,60/40,0.9946828016134946,0.9426585577758471,0.9679721652243731,0.9937623796782152,00:00:00,00:00:01.660844
HBOS,3,60/40,0.8975694444444444,0.8085143353605561,0.8507176158698234,0.9716266462800153,00:00:00.044892,00:00:03.080021
LOF,20/0.2,60/40,0.5183139534883721,0.619635099913119,0.5644637910565888,0.9043854467109149,00:00:00,00:00:00.268563
Autoencoder,1,60/40,0.9965355967434609,0.9996524761077324,0.9980916030534351,0.9996177502866873,00:00:23.608183,00:00:03.698507
Percentile,90/10,60/40,0.9950810712333759,0.9490877497827975,0.9715403770900035,0.9944400041699969,00:00:00,00:00:01.792527
HBOS,3,60/40,0.8989879702119534,0.8180712423979148,0.8566229985443958,0.9726170205372346,00:00:00.044892,00:00:03.210012
LOF,20/0.2,60/40,0.5040867885272701,0.5894005212858384,0.5434155719320731,0.9009625742780693,00:00:00,00:00:00.284909
Autoencoder,1,60/40,0.9963636363636363,0.9998262380538662,0.9980919340849956,0.9996177502866873,00:00:23.608183,00:00:03.817402
Percentile,90/10,60/40,0.9929398986241854,0.9530842745438749,0.9726039542512634,0.9946311290266532,00:00:00,00:00:01.626345
HBOS,3,60/40,0.898921832884097,0.8112945264986968,0.8528632751849484,0.972008895993328,00:00:00.044892,00:00:03.009201
LOF,20/0.2,60/40,0.5004464285714286,0.5843614248479583,0.5391583166332666,0.9001111999166,00:00:00,00:00:00.255639
Autoencoder,1,60/40,0.9967076763125975,0.9994787141615986,0.9980912719069929,0.9996177502866873,00:00:23.608183,00:00:03.643054
Percentile,90/10,60/40,0.9949026033133078,0.9496090356211989,0.971728307254623,0.9944747541439344,00:00:00,00:00:01.688688
HBOS,3,60/40,0.8918351774132011,0.8123370981754996,0.8502318814222062,0.9713833964624526,00:00:00.044892,00:00:03.037053
LOF,20/0.2,60/40,0.5046032441911442,0.6,0.5481822511509763,0.9011015741738194,00:00:00,00:00:00.270130
Autoencoder,1,60/40,0.9963636363636363,0.9998262380538662,0.9980919340849956,0.9996177502866873,00:00:23.608183,00:00:03.808744
Percentile,90/10,60/40,0.9956244302643573,0.9489139878366638,0.9717081850533809,0.9944747541439344,00:00:00,00:00:01.679100
HBOS,3,60/40,0.8946253130418031,0.8069504778453519,0.8485291430659603,0.9711922716057962,00:00:00.044892,00:00:03.094829
LOF,20/0.2,60/40,0.49663644340450425,0.5900955690703736,0.5393472564122925,0.8992077005942245,00:00:00,00:00:00.272172
Autoencoder,1,60/40,0.9965355967434609,0.9996524761077324,0.9980916030534351,0.9996177502866873,00:00:23.608183,00:00:03.724530
Percentile,90/10,60/40,0.9936398328184627,0.9501303214596003,0.9713981168946527,0.9944052541960594,00:00:00,00:00:01.622017
HBOS,3,60/40,0.9035909445745511,0.8045178105994787,0.8511811747403254,0.9718698960975779,00:00:00.044892,00:00:03.100213
LOF,20/0.2,60/40,0.5164028776978418,0.6236316246741963,0.564974419519874,0.9039684470236647,00:00:00,00:00:00.262325
Autoencoder,1,60/40,0.9967076763125975,0.9994787141615986,0.9980912719069929,0.9996177502866873,00:00:23.608183,00:00:03.691523
Percentile,90/10,60/40,0.9954677302393038,0.9541268462206777,0.9743589743589743,0.9949786287660284,00:00:00,00:00:01.691081
HBOS,3,60/40,0.8992652745552978,0.8081668114682884,0.8512858058021414,0.9717656461757653,00:00:00.044892,00:00:03.046089
LOF,20/0.2,60/40,0.4986117200058454,0.5928757602085143,0.5416732814732497,0.899676825242381,00:00:00,00:00:00.264135
Autoencoder,1,60/40,0.9965355967434609,0.9996524761077324,0.9980916030534351,0.9996177502866873,00:00:23.608183,00:00:03.700065
Percentile,90/10,60/40,0.9941295175197211,0.9416159860990443,0.9671604497590577,0.9936060047954964,00:00:00,00:00:01.614949
HBOS,3,60/40,0.8957816377171216,0.8154648132059079,0.8537384027651446,0.9720610209542343,00:00:00.044892,00:00:03.082039
LOF,20/0.2,60/40,0.5086696562032885,0.5913119026933101,0.5468862997187626,0.9020224484831636,00:00:00,00:00:00.263236
Autoencoder,1,60/40,0.9967076763125975,0.9994787141615986,0.9980912719069929,0.9996177502866873,00:00:23.608183,00:00:03.640521
Percentile,90/10,60/40,0.9915904936014626,0.9424847958297133,0.9664142538975502,0.9934496299127775,00:00:00,00:00:01.587630
HBOS,3,60/40,0.8972694290624403,0.8165073848827107,0.854985443959243,0.9723042707717969,00:00:00.044892,00:00:02.963807
LOF,20/0.2,60/40,0.4970776906628653,0.6059079061685491,0.546123727486296,0.8992945755290683,00:00:00,00:00:00.252173
Autoencoder,1,60/40,0.9961917950493335,1.0,0.9980922650017343,0.9996177502866873,00:00:23.608183,00:00:03.685106
Percentile,90/10,60/40,0.9967087218869994,0.9471763683753258,0.9713114754098361,0.9944052541960594,00:00:00,00:00:01.657809
HBOS,3,60/40,0.8939894962069637,0.7986099044309296,0.8436123348017621,0.9703930222052334,00:00:00.044892,00:00:03.067503
LOF,20/0.2,60/40,0.5006628369421122,0.590616854908775,0.5419323979591836,0.9001633248775064,00:00:00,00:00:00.266130
Autoencoder,1,60/40,0.9972246313963573,0.9989574283231972,0.9980902777777777,0.9996177502866873,00:00:23.608183,00:00:03.787836
Percentile,90/10,60/40,0.995077484047402,0.9483927019982624,0.9711743772241994,0.9943705042221218,00:00:00,00:00:02.409836
HBOS,3,60/40,0.8991466252909232,0.8055603822762815,0.8497846210246539,0.9715223963582027,00:00:00.044892,00:00:04.240374
LOF,20/0.2,60/40,0.4850080444639462,0.5761946133796698,0.5266836086404066,0.8964450776661917,00:00:00,00:00:00.358135
Autoencoder,1,60/40,0.9965355967434609,0.9996524761077324,0.9980916030534351,0.9996177502866873,00:00:23.608183,00:00:04.082367
Percentile,90/10,60/40,0.9972662657189721,0.9508253692441355,0.9734922611634941,0.9948222538833096,00:00:00,00:00:01.779389
HBOS,3,60/40,0.9002921129503408,0.8033014769765421,0.8490358126721763,0.971435521423359,00:00:00.044892,00:00:03.273852
LOF,20/0.2,60/40,0.49645924363417204,0.5725456125108601,0.5317947062621046,0.8991903256072558,00:00:00,00:00:00.281524
Autoencoder,1,60/40,0.9965355967434609,0.9996524761077324,0.9980916030534351,0.9996177502866873,00:00:23.608183,00:00:04.295158
Percentile,90/10,60/40,0.9924146649810367,0.9548218940052129,0.973255402054552,0.9947527539354345,00:00:00,00:00:01.717176
HBOS,3,60/40,0.9000191168036704,0.8180712423979148,0.857090842890952,0.9727212704590471,00:00:00.044892,00:00:02.990901
LOF,20/0.2,60/40,0.4951763858891289,0.5975673327541269,0.5415748031496064,0.8988428258678806,00:00:00,00:00:00.262249
Autoencoder,1,60/40,0.9965355967434609,0.9996524761077324,0.9980916030534351,0.9996177502866873,00:00:23.608183,00:00:03.513835
Percentile,90/10,60/40,0.99399235390497,0.94874022589053,0.9708392603129445,0.9943010042742468,00:00:00,00:00:01.639027
HBOS,3,60/40,0.9017891870867367,0.8057341442224153,0.8510599247499312,0.9718003961497029,00:00:00.044892,00:00:03.011895
LOF,20/0.2,60/40,0.5024182910743075,0.595655951346655,0.545078708856734,0.9005803245647566,00:00:00,00:00:00.258295
Autoencoder,1,60/40,0.9963636363636363,0.9998262380538662,0.9980919340849956,0.9996177502866873,00:00:23.608183,00:00:03.537923
Percentile,90/10,60/40,0.994535519125683,0.94874022589053,0.9710982658959538,0.9943531292351531,00:00:00,00:00:01.612684
HBOS,3,60/40,0.8930286153255234,0.8079930495221547,0.8483853311439519,0.9711227716579213,00:00:00.044892,00:00:02.973128
LOF,20/0.2,60/40,0.5043946696909555,0.6182450043440486,0.5555468810992271,0.9010841991868506,00:00:00,00:00:00.252150
Autoencoder,1,60/40,0.9965355967434609,0.9996524761077324,0.9980916030534351,0.9996177502866873,00:00:23.608183,00:00:03.486285
Percentile,90/10,60/40,0.9893028402803393,0.9320590790616855,0.9598282186633265,0.9921986308510269,00:00:00,00:00:01.586362
HBOS,3,60/40,0.8993288590604027,0.8149435273675065,0.8550592525068368,0.972373770719672,00:00:00.044892,00:00:02.938302
LOF,20/0.2,60/40,0.48147054481027607,0.566637706342311,0.5205938697318008,0.8956458282656288,00:00:00,00:00:00.249415
Autoencoder,1,60/40,0.9967076763125975,0.9994787141615986,0.9980912719069929,0.9996177502866873,00:00:23.608183,00:00:03.444195
Percentile,90/10,60/40,0.9942930780559647,0.938488271068636,0.9655850540806293,0.9933106300170275,00:00:00,00:00:01.633334
HBOS,3,60/40,0.8958935801041065,0.8074717636837533,0.8493876804971668,0.9713660214754839,00:00:00.044892,00:00:02.977291
