Technique,Variable,Training_Test,Precision,Recall,F1,Accuracy,Time_t,Time_d
Autoencoder,1,60/40,1.0,0.978585657370518,0.9891769443745281,0.9978586723768736,00:00:14.279853,00:00:05.920959
HBOS,3,60/40,0.902330743618202,0.8097609561752988,0.8535433070866141,0.9722125392161745,00:00:00.046934,00:00:05.202464
Percentile,90/10,60/40,0.9968809565066713,0.9550132802124834,0.975498092412039,0.9952027621466395,00:00:00,00:00:03.269884
Autoencoder,1,60/40,1.0,0.9817397078353254,0.9907857262523035,0.998174061716714,00:00:14.279853,00:00:06.209907
HBOS,3,60/40,0.8933109118086696,0.7936586985391766,0.8405414908579465,0.9698886177647196,00:00:00.046934,00:00:05.196457
Percentile,90/10,60/40,0.9980856247824573,0.9520252324037185,0.9745114698385727,0.9950201683183109,00:00:00,00:00:03.104450
Autoencoder,1,60/40,1.0,0.9787516600265604,0.9892617449664429,0.9978752718158126,00:00:14.279853,00:00:05.543165
HBOS,3,60/40,0.8960823983814603,0.8087649402390438,0.8501875927056975,0.9714987633417991,00:00:00.046934,00:00:05.506376
Percentile,90/10,60/40,0.9946431657162605,0.9555112881806109,0.9746846160358987,0.9950367677572498,00:00:00,00:00:03.129240
Autoencoder,1,60/40,1.0,0.9774236387782205,0.9885829415715245,0.9977424763043009,00:00:14.279853,00:00:05.778628
HBOS,3,60/40,0.9045170767535806,0.8177290836653387,0.8589363557105494,0.9731421077967565,00:00:00.046934,00:00:05.082807
Percentile,90/10,60/40,0.9927385892116183,0.953187250996016,0.9725609756097561,0.9946217817837757,00:00:00,00:00:03.192029
Autoencoder,1,60/40,1.0,0.9777556440903055,0.9887527278831627,0.9977756751821788,00:00:14.279853,00:00:05.436324
HBOS,3,60/40,0.902851885924563,0.8145750332005313,0.8564447159437996,0.9726939229454045,00:00:00.046934,00:00:05.171204
Percentile,90/10,60/40,0.9923690600069373,0.949867197875166,0.9706530958439357,0.9942565941271185,00:00:00,00:00:03.079615
Autoencoder,1,60/40,1.0,0.976925630810093,0.988328155176757,0.9976926779874841,00:00:14.279853,00:00:05.386045
HBOS,3,60/40,0.9006291635825314,0.8079349269588313,0.8517675883794189,0.9718805504373952,00:00:00.046934,00:00:05.088309
Percentile,90/10,60/40,0.9960145555363022,0.954183266932271,0.9746502755404832,0.9950367677572498,00:00:00,00:00:03.204563
Autoencoder,1,60/40,1.0,0.9827357237715804,0.9912926992632284,0.9982736583503478,00:00:14.279853,00:00:05.499480
HBOS,3,60/40,0.8990050685188662,0.7949867197875166,0.8438023081666812,0.9705691947612171,00:00:00.046934,00:00:05.490453
Percentile,90/10,60/40,0.9972154542290289,0.951195219123506,0.973661852166525,0.9948541739289212,00:00:00,00:00:03.604859
Autoencoder,1,60/40,1.0,0.977257636122178,0.9884980270338344,0.997725876865362,00:00:14.279853,00:00:05.574251
HBOS,3,60/40,0.8959867452135494,0.8079349269588313,0.8496857541899441,0.9714157661471042,00:00:00.046934,00:00:05.057977
Percentile,90/10,60/40,0.992572119537053,0.953851261620186,0.9728265470244646,0.9946715801005926,00:00:00,00:00:03.218956
Autoencoder,1,60/40,1.0,0.9802456839309429,0.9900243105038142,0.9980246667662633,00:00:14.279853,00:00:05.077772
HBOS,3,60/40,0.8983429528951778,0.8009628154050464,0.8468626590609917,0.971033979051508,00:00:00.046934,00:00:04.921458
Percentile,90/10,60/40,0.9956822107081175,0.9570053120849934,0.9759607245640766,0.9952857593413342,00:00:00,00:00:02.593497
Autoencoder,1,60/40,1.0,0.9804116865869854,0.9901089689857502,0.9980412662052023,00:00:14.279853,00:00:05.140265
HBOS,3,60/40,0.8953229398663697,0.8007968127490039,0.8454258675078864,0.9707185897116678,00:00:00.046934,00:00:05.241273
Percentile,90/10,60/40,0.9916839916839917,0.950199203187251,0.9704984740590031,0.9942233952492405,00:00:00,00:00:03.098288
Autoencoder,1,60/40,1.0,0.9820717131474104,0.9909547738693467,0.9982072605945919,00:00:14.279853,00:00:05.743175
HBOS,3,60/40,0.9024753396612694,0.8049468791500664,0.8509256821970694,0.9717975532427005,00:00:00.046934,00:00:04.710565
Percentile,90/10,60/40,0.9937694704049844,0.953187250996016,0.9730554143365532,0.9947213784174095,00:00:00,00:00:02.975313
Autoencoder,1,60/40,1.0,0.9812416998671979,0.9905320485965647,0.9981242633998971,00:00:14.279853,00:00:04.944763
HBOS,3,60/40,0.896865889212828,0.8170650730411687,0.8551077136900626,0.9723121358498082,00:00:00.046934,00:00:04.783138
Percentile,90/10,60/40,0.9961423812028757,0.9430610889774237,0.9688752451607402,0.9939412047872782,00:00:00,00:00:03.024509
Autoencoder,1,60/40,1.0,0.9790836653386454,0.9894313034725717,0.9979084706936906,00:00:14.279853,00:00:05.159829
HBOS,3,60/40,0.8957528957528957,0.8087649402390438,0.8500392567390735,0.9714655644639211,00:00:00.046934,00:00:04.959477
Percentile,90/10,60/40,0.9949617790132036,0.9506972111553785,0.9723259762308998,0.9945885829058978,00:00:00,00:00:03.027956
Autoencoder,1,60/40,1.0,0.9792496679946879,0.9895160613939445,0.9979250701326295,00:00:14.279853,00:00:04.902295
HBOS,3,60/40,0.8983174835405998,0.8154050464807437,0.854855551688131,0.9723121358498082,00:00:00.046934,00:00:05.009930
Percentile,90/10,60/40,0.9927536231884058,0.9551792828685259,0.9736040609137055,0.9948209750510433,00:00:00,00:00:03.109102
Autoencoder,1,60/40,1.0,0.9794156706507304,0.9896008050989601,0.9979416695715685,00:00:14.279853,00:00:05.192920
HBOS,3,60/40,0.9041121495327102,0.8029548472775564,0.8505363108844735,0.9717809538037614,00:00:00.046934,00:00:04.787100
Percentile,90/10,60/40,0.9945271079185908,0.9653054448871182,0.9796984247325415,0.9959995352157097,00:00:00,00:00:02.827448
Autoencoder,1,60/40,1.0,0.9787516600265604,0.9892617449664429,0.9978752718158126,00:00:14.279853,00:00:04.875833
HBOS,3,60/40,0.8984202792064658,0.8119189907038512,0.8529822113707708,0.972013345948907,00:00:00.046934,00:00:05.019007
Percentile,90/10,60/40,0.9968928016571724,0.9586653386454184,0.9774054328509774,0.9955679498032967,00:00:00,00:00:02.727215
Autoencoder,1,60/40,1.0,0.977257636122178,0.9884980270338344,0.997725876865362,00:00:14.279853,00:00:05.159789
HBOS,3,60/40,0.8977020014825797,0.8041168658698539,0.8483362521891418,0.9712497717577145,00:00:00.046934,00:00:05.171935
Percentile,90/10,60/40,0.9914649015850897,0.9448871181938912,0.9676158096047599,0.9936756137642547,00:00:00,00:00:02.664526
Autoencoder,1,60/40,1.0,0.9817397078353254,0.9907857262523035,0.998174061716714,00:00:14.279853,00:00:05.010635
HBOS,3,60/40,0.9056639159789948,0.8016268260292164,0.8504755195491369,0.9718141526816394,00:00:00.046934,00:00:04.903051
Percentile,90/10,60/40,0.9968343299331692,0.9409030544488712,0.968061485909479,0.9937918098368275,00:00:00,00:00:02.626027
Autoencoder,1,60/40,1.0,0.974933598937583,0.9873077246364629,0.9974934847202165,00:00:14.279853,00:00:05.157495
HBOS,3,60/40,0.8980052691004893,0.7921646746347941,0.8417710354559889,0.9702206065434988,00:00:00.046934,00:00:04.533610
Percentile,90/10,60/40,0.9939056242382031,0.9475431606905711,0.9701708166907453,0.9941735969324237,00:00:00,00:00:03.065574
Autoencoder,1,60/40,1.0,0.976593625498008,0.9881582262534644,0.9976594791096061,00:00:14.279853,00:00:05.009073
HBOS,3,60/40,0.8985853389674812,0.8119189907038512,0.8530565971919422,0.9720299453878459,00:00:00.046934,00:00:04.982326
Percentile,90/10,60/40,0.9889744487224361,0.9380810092961488,0.9628556823990458,0.9927626446226118,00:00:00,00:00:02.603018
Autoencoder,1,60/40,1.0,0.9802456839309429,0.9900243105038142,0.9980246667662633,00:00:14.279853,00:00:05.141022
HBOS,3,60/40,0.9043832069539486,0.8117529880478087,0.8555681917592511,0.9725943263117707,00:00:00.046934,00:00:04.799848
Percentile,90/10,60/40,0.9933958985053876,0.9488711819389111,0.9706231957887588,0.9942565941271185,00:00:00,00:00:02.886152
Autoencoder,1,60/40,1.0,0.9780876494023905,0.9889224572004028,0.9978088740600568,00:00:14.279853,00:00:05.140974
HBOS,3,60/40,0.8962678375411636,0.8132470119521913,0.8527415143603133,0.9719137493152732,00:00:00.046934,00:00:04.751794
Percentile,90/10,60/40,0.9922266367248229,0.953519256308101,0.9724879370185389,0.9946051823448367,00:00:00,00:00:02.804602
